Name;Source;Category
route_views/19980114;Netzschleuder;Technological
route_views/19990516;Netzschleuder;Technological
route_views/19980122;Netzschleuder;Technological
route_views/19990831;Netzschleuder;Technological
route_views/19981021;Netzschleuder;Technological
route_views/19980729;Netzschleuder;Technological
route_views/19980318;Netzschleuder;Technological
route_views/19990530;Netzschleuder;Technological
route_views/19991221;Netzschleuder;Technological
route_views/19990309;Netzschleuder;Technological
route_views/19971202;Netzschleuder;Technological
route_views/19981112;Netzschleuder;Technological
route_views/19981012;Netzschleuder;Technological
route_views/19980916;Netzschleuder;Technological
route_views/19990920;Netzschleuder;Technological
route_views/19980429;Netzschleuder;Technological
route_views/19990501;Netzschleuder;Technological
route_views/19971210;Netzschleuder;Technological
route_views/19990509;Netzschleuder;Technological
route_views/19971119;Netzschleuder;Technological
route_views/19990311;Netzschleuder;Technological
route_views/19980803;Netzschleuder;Technological
route_views/19990810;Netzschleuder;Technological
route_views/19990125;Netzschleuder;Technological
route_views/19990129;Netzschleuder;Technological
route_views/19990907;Netzschleuder;Technological
route_views/19990525;Netzschleuder;Technological
route_views/19980910;Netzschleuder;Technological
route_views/19991229;Netzschleuder;Technological
route_views/19990714;Netzschleuder;Technological
route_views/19991113;Netzschleuder;Technological
route_views/19990727;Netzschleuder;Technological
route_views/19990717;Netzschleuder;Technological
route_views/19980315;Netzschleuder;Technological
route_views/19980205;Netzschleuder;Technological
route_views/19980112;Netzschleuder;Technological
route_views/19981105;Netzschleuder;Technological
route_views/19990822;Netzschleuder;Technological
route_views/19981101;Netzschleuder;Technological
route_views/19980415;Netzschleuder;Technological
route_views/20000102;Netzschleuder;Technological
route_views/19981217;Netzschleuder;Technological
route_views/19981030;Netzschleuder;Technological
route_views/19981108;Netzschleuder;Technological
route_views/19990929;Netzschleuder;Technological
route_views/19990809;Netzschleuder;Technological
route_views/19990119;Netzschleuder;Technological
route_views/19980705;Netzschleuder;Technological
route_views/19991215;Netzschleuder;Technological
route_views/19990722;Netzschleuder;Technological
route_views/19981003;Netzschleuder;Technological
route_views/19990507;Netzschleuder;Technological
route_views/19980814;Netzschleuder;Technological
route_views/19990227;Netzschleuder;Technological
route_views/19980419;Netzschleuder;Technological
route_views/19971116;Netzschleuder;Technological
route_views/19990801;Netzschleuder;Technological
route_views/19981007;Netzschleuder;Technological
route_views/19990218;Netzschleuder;Technological
route_views/19981107;Netzschleuder;Technological
route_views/19991019;Netzschleuder;Technological
route_views/19980408;Netzschleuder;Technological
route_views/19990719;Netzschleuder;Technological
route_views/19981225;Netzschleuder;Technological
route_views/19980926;Netzschleuder;Technological
route_views/19990827;Netzschleuder;Technological
route_views/19981103;Netzschleuder;Technological
route_views/19990130;Netzschleuder;Technological
route_views/19981203;Netzschleuder;Technological
route_views/19980214;Netzschleuder;Technological
route_views/19990217;Netzschleuder;Technological
route_views/19971127;Netzschleuder;Technological
route_views/19980213;Netzschleuder;Technological
route_views/19981011;Netzschleuder;Technological
route_views/19971203;Netzschleuder;Technological
route_views/19980123;Netzschleuder;Technological
route_views/19990203;Netzschleuder;Technological
route_views/19990710;Netzschleuder;Technological
route_views/19980320;Netzschleuder;Technological
route_views/19990124;Netzschleuder;Technological
route_views/19991116;Netzschleuder;Technological
route_views/19980301;Netzschleuder;Technological
route_views/19990421;Netzschleuder;Technological
route_views/19980425;Netzschleuder;Technological
route_views/19980206;Netzschleuder;Technological
route_views/19990503;Netzschleuder;Technological
route_views/19990318;Netzschleuder;Technological
route_views/19980710;Netzschleuder;Technological
route_views/19980619;Netzschleuder;Technological
route_views/19980806;Netzschleuder;Technological
route_views/19980604;Netzschleuder;Technological
route_views/19981024;Netzschleuder;Technological
route_views/19990624;Netzschleuder;Technological
route_views/19980706;Netzschleuder;Technological
route_views/19980111;Netzschleuder;Technological
route_views/19981228;Netzschleuder;Technological
route_views/19990403;Netzschleuder;Technological
route_views/19990919;Netzschleuder;Technological
route_views/19980608;Netzschleuder;Technological
route_views/19990201;Netzschleuder;Technological
route_views/19990207;Netzschleuder;Technological
route_views/19981005;Netzschleuder;Technological
route_views/19980517;Netzschleuder;Technological
route_views/19991205;Netzschleuder;Technological
route_views/19980626;Netzschleuder;Technological
route_views/19981204;Netzschleuder;Technological
route_views/19981218;Netzschleuder;Technological
route_views/19981123;Netzschleuder;Technological
route_views/19981126;Netzschleuder;Technological
route_views/19981224;Netzschleuder;Technological
route_views/19990805;Netzschleuder;Technological
route_views/19981121;Netzschleuder;Technological
route_views/19981010;Netzschleuder;Technological
route_views/19981006;Netzschleuder;Technological
route_views/19990514;Netzschleuder;Technological
